date,Artist,Song/Album Title,Peak Position,Weeks on Chart,year,generation,debut_years
2022-09-10,Twice,Between 1&2,3,8,2022,3,2012 - 2017
2022-09-24,Jackson Wang,"""Magic Man""",15,1,2022,2,2005 - 2011
2022-10-01,Blackpink,Born Pink,1,11,2022,3,2012 - 2017
2022-10-01,NCT 127,2 Baddies,3,5,2022,3,2012 - 2017
2022-10-22,Stray Kids,Maxident[70][71],1,6,2022,4,2018 - 2022
2022-11-05,Le Sserafim,Antifragile,14,2,2022,4,2018 - 2022
2022-11-05,(G)I-dle,I Love,71,1,2022,4,2018 - 2022
2022-12-17,RM,Indigo[72],3,1,2022,3,2012 - 2017
2022-12-17,Itzy,Cheshire,25,2,2022,4,2018 - 2022
2023-01-14,Ateez,Spin Off: From the Witness,7,2,2023,4,2018 - 2022
2023-02-11,TXT,The Name Chapter: Temptation,1,19,2023,4,2018 - 2022
2023-03-18,NCT 127,Ay-Yo,13,2,2023,3,2012 - 2017
2023-03-25,Twice,Ready to Be[73],2,9,2023,3,2012 - 2017
2023-04-08,Jimin,Face[74],2,6,2023,3,2012 - 2017
2023-04-08,Nmixx,Expérgo,122,1,2023,4,2018 - 2022
2023-04-15,Xikers,House Of Tricky: Doorbell Ringing[75][76],75,1,2023,5,2023 - 
2023-05-06,Agust D,D-Day,2,5,2023,3,2012 - 2017
2023-05-13,Seventeen,FML,2,9,2023,3,2012 - 2017
2023-05-20,Le Sserafim,Unforgiven,6,8,2023,4,2018 - 2022
2023-06-03,(G)I-dle,I Feel,41,2,2023,4,2018 - 2022
2023-06-17,Stray Kids,5-Star[77],1,16,2023,4,2018 - 2022
2023-06-17,Enhypen,Dark Blood[77],4,8,2023,4,2018 - 2022
2023-06-24,P1Harmony,Harmony: All In,51,1,2023,4,2018 - 2022
2023-07-01,Ateez,The World EP.2: Outlaw[78],2,5,2023,4,2018 - 2022
2023-07-15,Aespa,My World,9,3,2023,4,2018 - 2022
2023-08-05,NewJeans,Get Up[79][80],1,26,2023,4,2018 - 2022
2023-08-19,Itzy,Kill My Doubt,23,2,2023,4,2018 - 2022
2023-08-19,TXT,Sweet,54,1,2023,4,2018 - 2022
2023-09-02,Jihyo,Zone,14,2,2023,3,2012 - 2017
2023-09-02,NCT Dream,ISTJ,28,3,2023,3,2012 - 2017
2023-09-23,V,Layover[81],2,7,2023,3,2012 - 2017
2023-09-23,BoyNextDoor,Why..,162,1,2023,5,2023 - 
2023-10-07,The Rose,Dual,83,1,2023,3,2012 - 2017
2023-10-14,NCT,Golden Age,66,1,2023,3,2012 - 2017
2023-10-21,NCT 127,Fact Check,16,2,2023,3,2012 - 2017
2023-10-21,(G)I-dle,Heat,25,1,2023,4,2018 - 2022
2023-10-21,DPR Ian,Dear Insanity,138,1,2023,3,2012 - 2017
2023-10-28,TXT,The Name Chapter: Freefall,3,7,2023,4,2018 - 2022
2023-11-11,Seventeen,Seventeenth Heaven,2,5,2023,3,2012 - 2017
2023-11-18,Jungkook,Golden[82],2,24,2023,3,2012 - 2017
2023-11-25,Stray Kids,Rock-Star[83],1,14,2023,4,2018 - 2022
2023-11-25,Aespa,Drama,33,2,2023,4,2018 - 2022
2023-12-02,Enhypen,Orange Blood,4,7,2023,4,2018 - 2022
2023-12-16,Ateez,The World EP.Fin: Will[78],1,6,2023,4,2018 - 2022
2024-02-03,Nmixx,Fe3O4: Break,171,1,2024,4,2018 - 2022
2024-02-24,P1Harmony,Killin' It,39,2,2024,4,2018 - 2022
2024-02-24,Itzy,Born to Be,62,1,2024,4,2018 - 2022
2024-03-09,Twice,With You-th[84][85],1,5,2024,3,2012 - 2017
2024-03-09,Le Sserafim,Easy,8,5,2024,4,2018 - 2022
2024-03-16,(G)I-dle,2,132,1,2024,4,2018 - 2022
2024-03-23,Xikers,House Of Tricky: Trial and Error,73,1,2024,5,2023 - 
2024-04-13,J-Hope,Hope on the Street Vol. 1[86],5,2,2024,3,2012 - 2017
2024-04-20,TXT,Minisode 3: Tomorrow,3,4,2024,4,2018 - 2022
2024-05-04,BoyNextDoor,How?,93,1,2024,5,2023 - 
2024-05-11,Illit,Super Real Me,93,1,2024,5,2023 - 
2024-05-18,Seventeen,17 Is Right Here,5,5,2024,3,2012 - 2017
2024-06-08,RM,"Right Place, Wrong Person",5,2,2024,3,2012 - 2017
2024-06-15,Ateez,Golden Hour: Part.1,2,7,2024,4,2018 - 2022
2024-06-29,Nayeon,Na,7,2,2024,3,2012 - 2017
2024-06-20,Aespa,Armageddon,25,2,2024,4,2018 - 2022
2024-07-27,Enhypen,Romance: Untold,2,10,2024,4,2018 - 2022
2024-08-03,Stray Kids,Ate,1,14,2024,4,2018 - 2022
