"id_company","id","name"
0,352,Parkjiyoon Creative
0,353,Paktory Company
0,354,FameUs Entertainment
0,355,Starit Entertainment
0,356,BS Company
0,357,PVO Entertainment
0,358,Plus Media
0,359,One Soul E&M
0,360,S-Tasy
0,361,Sublime Artist Agency
0,362,JWK Entertainment
0,363,Jade Contents
0,365,DNA Entertainment
0,366,S2 Entertainment
0,367,IY Company
0,368,Most Works
0,369,Mad Entertainment
0,370,Illusion Entertainment
0,371,Riot Games
0,372,JYP Entertainment + Sony Music Ent. Japan
0,373,New Era Project
0,374,H&H Entertainment
0,375,Happy Robot Records
0,376,World Event Agency
0,377,Consent Media
0,378,ShowPLAY Entertainment
0,379,MECHIVE
0,381,TOV Entertainment
0,382,Kingtop Entertainment
0,383,Purple Star Entertainment
0,384,LPA Entertainment
0,386,Engine of Dream
0,387,Ruby Records
0,388,Dr. Simpson Company
0,389,Glorious Entertainment
0,390,CMG Stars
0,391,Your Summer
0,392,Applejam Music
0,393,Major Entertainment
30,394,Bluedot Entertainment
0,396,Big Ocean ENM
0,397,"10x Entertainment"
0,398,KH Company
0,399,Music Factory Entertainment
0,400,Winsome Media
654,401,XX Entertainment
0,402,Choon Entertainment
0,403,Square Record
0,404,Rolling Culture One
0,405,WinnerZone Entertainment
0,406,MBC
0,407,UPVOTE Entertainment
0,408,Good Luck Entertainment
0,409,Story J Company
0,410,Bluemoon Entertainment
0,411,Haeirum Entertainment
0,412,Enterrobang
0,413,KM Entertainment
0,414,INMEDIA
0,415,Trophy Entertainment
0,416,MissDica Entertainment
0,418,By-U Entertainment
0,419,DEE Company
0,420,Woolfpack
0,421,Hana Music Management
0,422,Mainstream
0,423,ENTERTAINMENT HAN
0,424,Creative Artists Agency
0,425,K-Tigers E&C
0,426,INAKIST Entertainment
0,427,MODERNBOY ENTERTAINMENT
0,428,PIG Entertainment
273,429,@AREA
502,430,Wedaplugg Records
0,431,THE L1VE
0,432,VMC
0,433,CROSS PHASE Inc.
0,434,Interpark Music Plus
0,435,Outlive
0,436,MC.S Lab
0,437,BPM Entertainment
0,438,Cartoon Blue Company
0,439,DRB Entertainment
0,440,Show Works Entertainment
0,441,Star Weave Entertainment
0,442,EGO Group
0,443,ILIL Sound
0,444,Love Rock Company
0,445,ORM Entertainment
0,446,Think Entertainment
0,447,SHINHOO Entertainment
0,448,Fluxus Music
0,449,A Flat Entertainment
0,450,Liz Entertainment
0,451,CLIMIX
