"data","ranklist"
"2021-01-02","[[""40"",""BTS"",""Dynamite"",12,189],[""40"",""BTS"",""Life Goes On"",119,82],[""31"",""Blackpink"",""How You Like That"",187,14],[""208"",""Twice"",""I Can&#039;t Stop Me"",194,7]]"
"2021-01-09","[[""40"",""BTS"",""Dynamite"",3,198],[""40"",""BTS"",""Life Goes On"",86,115],[""31"",""Blackpink"",""How You Like That"",134,67],[""208"",""Twice"",""I Can&#039;t Stop Me"",159,42]]"
"2021-01-16","[[""40"",""BTS"",""Dynamite"",1,400],[""40"",""BTS"",""Life Goes On"",69,132],[""31"",""Blackpink"",""How You Like That"",107,94],[""208"",""Twice"",""I Can&#039;t Stop Me"",132,69],[""31"",""Blackpink"",""Lovesick Girls"",164,37]]"
"2021-01-23","[[""40"",""BTS"",""Dynamite"",3,198],[""40"",""BTS"",""Life Goes On"",84,117],[""31"",""Blackpink"",""How You Like That"",130,71],[""208"",""Twice"",""I Can&#039;t Stop Me"",164,37],[""31"",""Blackpink"",""Lovesick Girls"",194,7]]"
"2021-01-30","[[""40"",""BTS"",""Dynamite"",6,195],[""40"",""BTS"",""Life Goes On"",88,113],[""31"",""Blackpink"",""How You Like That"",125,76],[""208"",""Twice"",""I Can&#039;t Stop Me"",170,31]]"
"2021-02-06","[[""40"",""BTS"",""Dynamite"",4,197],[""40"",""BTS"",""Life Goes On"",98,103],[""31"",""Blackpink"",""How You Like That"",127,74],[""208"",""Twice"",""I Can&#039;t Stop Me"",172,29]]"
"2021-02-13","[[""40"",""BTS"",""Dynamite"",3,198],[98,""IU"",""Celebrity"",78,123],[""40"",""BTS"",""Life Goes On"",102,99],[""31"",""Blackpink"",""How You Like That"",127,74],[""208"",""Twice"",""I Can&#039;t Stop Me"",183,18],[""31"",""Blackpink"",""Lovesick Girls"",192,9]]"
"2021-02-20","[[""40"",""BTS"",""Dynamite"",5,196],[""40"",""BTS"",""Life Goes On"",118,83],[""31"",""Blackpink"",""How You Like That"",135,66],[98,""IU"",""Celebrity"",162,39]]"
"2021-02-27","[[""40"",""BTS"",""Dynamite"",10,191],[""40"",""BTS"",""Life Goes On"",134,67],[""31"",""Blackpink"",""How You Like That"",141,60]]"
"2021-03-06","[[""40"",""BTS"",""Dynamite"",8,193],[""40"",""BTS"",""Life Goes On"",63,138],[""31"",""Blackpink"",""How You Like That"",145,56]]"
"2021-03-13","[[""40"",""BTS"",""Dynamite"",8,193],[""40"",""BTS"",""Life Goes On"",125,76],[""31"",""Blackpink"",""How You Like That"",143,58]]"
"2021-03-20","[[""40"",""BTS"",""Dynamite"",12,189],[""40"",""BTS"",""Life Goes On"",153,48],[""31"",""Blackpink"",""How You Like That"",157,44]]"
