"id","is_collab","name","kname","previous_name","previous_kname","fname","alias","id_company","members","issolo","id_parentgroup","formation","disband","fanclub","id_debut","debut_date","date_birth","is_deceased","id_country","sales","awards","views","pak_total","gaondigital_times","gaondigital_firsts","yawards_total","social","mslevel"
1,n,"100%",백퍼센트,"","","","",61,male,n,0,2012,"2021",Perfection,1725,"2012-09-18",,n,114,103148,0,17014250,0,3,0,0,"{""W"":""www.100per.kr"",""T"":""TOP_100PERCENT"",""V"":""ED9233"",""I"":""100pergram"",""F"":""Official100percent"",""K"":""100%_(band)"",""A"":""100\/564095886"",""M"":""697486"",""N"":""백퍼센트"",""Y"":""UCji4MHZnUaijm2s3tpHOlJg""}",1
2,n,"24K+",투포케이플러스,"24K",투포케이,"","",60,male,n,0,2012,"","24U",1736,"2012-09-06",,n,114,10083,0,39978148,0,0,0,0,"{""T"":""24K__OFFICIAL"",""V"":""EA429D"",""I"":""24k__official"",""K"":""24K_(band)"",""A"":""24k\/682187896"",""F"":""CHOEUNENT.24K"",""Y"":""UCcVqOMZoLmcuR2_DgKX7bxw"",""U"":""choeunentofficial"",""S"":""5r6waWb7zJbYnwwdy08EPO"",""M"":""696519"",""N"":""24K"",""O"":""24kplus_official""}",0
3,n,"2AM",투에이엠,"","","","",642,male,n,0,2008,"",I Am,9969,"2008-06-21",,n,114,239440,10,51881165,0,198,4,7,"{""K"":""2AM_(band)"",""F"":""2amofficial"",""T"":""follow2am"",""A"":""2am\/14063144"",""M"":""253866"",""N"":""2AM"",""I"":""voice_2am""}",2
4,n,"2NE1",투애니원,"","","","",3,female,n,0,2009,"2017-01",Blackjack,903,"2009-05-06",,n,114,681461,43,1712795049,2,332,11,24,"{""K"":""2NE1"",""F"":""2NE1"",""T"":""ygladies"",""I"":""2ne1xxi"",""D"":""2NE1"",""A"":""2ne1\/329155759"",""M"":""406712"",""N"":""2NE1"",""Y"":""UCnsQjCVzmEd-YvlQZbo6zCg""}",2
5,n,"2PM",투피엠,"","","","",14,male,n,0,2008,"",Hottest,2638,"2008-07-04",,n,114,896568,41,538889977,0,134,2,11,"{""W"":""2pm.jype.com"",""T"":""follow_2pm"",""F"":""2pm.jype"",""V"":""EF7F"",""I"":""real_2pmstagram"",""A"":""2pm\/183292586"",""K"":""2PM"",""M"":""259822"",""N"":""2PM"",""Y"":""UCBpzJvEhkemwMOkYLq9yUsA""}",2
6,n,"2YOON",투윤,"","","","",6,female,n,7,2013,"2016-06","",1172,"2013-01-16",,n,114,5895,0,2944653,0,9,0,0,"{""M"":""715898"",""N"":""2YOON""}",0
7,n,"4Minute",포미닛,"","","","",6,female,n,0,2009,"2016-06","4nia",15046,"2009-06-15",,n,114,205088,23,803583022,0,162,2,7,"{""K"":""4Minute"",""F"":""4minute.unitedcube"",""W"":""4min.co.kr"",""I"":""4minute4nia_"",""A"":""4minute\/371898647"",""M"":""417985"",""N"":""4minute"",""Y"":""UC_Dm4o5UrbPr2uvM7VPUR6g"",""S"":""6cdC1cwqh3eJAXaxXJt2jv""}",2
8,n,F-ve dolls,파이브돌스,"","","","5dolls; Five Dolls",4,female,n,868,2011,"2014-11",DOLLY,0,"2011-01-20",,n,114,2384,0,7855466,0,4,0,0,"{""K"":""F-ve_Dolls"",""D"":""f-ve-dolls"",""M"":""520160"",""A"":""f-ve-dolls\/660176572"",""S"":""1nw5g6u9BIPwyqlsm01cDP"",""N"":""파이브돌스"",""T"":""ccm_fvedolls""}",0
9,n,"9Muses",나인뮤지스,"","","",Namyu,15,female,n,0,2010,"2019-02",MINE,875,"2010-08-12",,n,114,55301,0,111463402,0,63,0,0,"{""W"":""9muses.co.kr"",""T"":""9muses_"",""F"":""9musesofficial"",""K"":""Nine_Muses_(band)"",""V"":""E962B9"",""I"":""official_ninemuses"",""A"":""9muses\/404135177"",""U"":""NineMusesCh"",""S"":""55tJwpPIz9BMrSLM45iEXX"",""Y"":""UCJ_sOiMLKpEH39gESJCPmlw"",""M"":""465680"",""N"":""ub098uc778ubba4uc9",1
10,n,"9Muses A",나인뮤지스A,"","","",Namyu A;9Muses Amuse,15,female,n,9,2016,"2019-02",MINE,1694,"2016-08-03",,n,114,8484,0,4388350,0,2,0,0,"{""A"":""9muses\/404135177"",""M"":""465680"",""N"":""ub098uc778ubba4uc9c0uc2a4A""}",0
11,n,After School,애프터스쿨,"","","",애프터스쿨 BLUE;애프터스쿨 RED,9,female,n,0,2009,"2019",Playgirlz,0,"2009-01-15",,n,114,138457,3,141344206,0,83,0,1,"{""W"":""www.pledis.co.kr\/html\/artist\/afterschool"",""F"":""pledisAS"",""T"":""pledisnews"",""K"":""After_School_(band)"",""A"":""afterschool\/338814090"",""M"":""322666"",""Y"":""UCa4bSotPcEV6ue9moWm9Y2Q"",""S"":""1loWI8jVk9btgJXHgqHXPD"",""N"":""애프터스쿨""}",1
12,n,Agust D,민윤기,Suga,슈가,Min Yoongi,Suga,566,male,y,40,2013,"","",1919,"2016-08-16","1993-03-09",n,114,1358066,0,964901347,0,29,0,1,"{""I"":""agustd"",""K"":""Suga_(rapper)"",""A"":""agust-d\/1143454142"",""M"":""725988"",""N"":""슈가(방탄소년단)""}",2
13,n,Ailee,에일리,"","",Lee Yejin,이예진; Amy Lee,477,female,y,0,2011,"",Alien,635,"2012-02-08","1989-05-30",n,114,41838,11,467835958,1,390,7,17,"{""K"":""Ailee"",""T"":""itzailee"",""V"":""FC855"",""I"":""aileeonline"",""A"":""ailee\/415508441"",""M"":""629831"",""N"":""에일리"",""F"":""aileemusic"",""S"":""3uGFTJ7JMllvhgGpumieHF""}",2
14,n,Akmu,악동뮤지션,"","","",악뮤;히어로,3,coed,n,0,2012,"","",1583,"2014-04-06",,n,114,95174,24,627999893,2,789,18,12,"{""K"":""Akdong_Musician"",""F"":""officialAKMU"",""W"":""www.yg-akmu.com"",""V"":""F36179"",""I"":""akmu_suhyun"",""A"":""akmu\/747306596"",""M"":""712452"",""N"":""AKMU""}",2
15,n,Amber,엠버,"","",Amber Josephine Liu,Amber Liu; 劉逸雲; アンバー; 刘逸云; Liu Yiyun,1,female,y,65,2009,"","",1500,"2015-09-17","1992-09-18",n,228,15099,0,76766322,0,7,0,0,"{""K"":""Amber_Liu_(singer)"",""I"":""ajol_llama"",""M"":""668851"",""Y"":""UCD-aVzvsQsFizfMSuUSN9cA"",""C"":""amberliuofficial"",""T"":""amberliu"",""A"":""amber-liu\/965780781"",""S"":""4ZpzgTOUAznSK70KdPbJHf"",""N"":""엠버%20리우"",""F"":""amberliuofficial"",""O"":""amberliu""}",1
16,n,AOA,에이오에이,"","","","",10,female,n,0,2012,"2020-07",ELVIS,607,"2012-07-30",,n,114,223475,10,853758568,0,193,0,3,"{""K"":""AOA_(band)"",""F"":""OfficialAOA"",""T"":""official_aoa"",""V"":""FEA11"",""I"":""aoa.8"",""A"":""aoa\/1080563762"",""S"":""54gWVQFHf8IIqbjxAoOarN"",""M"":""686920"",""Y"":""UCHMMStnbsv13tXigCkW_sBQ"",""N"":""AOA(아이돌)""}",2
17,n,AOA CREAM,에이오에이 크림,"","","","",10,female,n,16,2016,"2021",ELVIS,4885,"2016-02-12",,n,114,0,0,43137769,0,5,0,0,"{""A"":""aoa\/1080563762"",""M"":""686920"",""N"":""AOA%20CREAM""}",0
18,n,Apink,에이핑크,"","","","",194,female,n,0,2011,"",Pink Panda,674,"2011-04-19",,n,114,829855,52,960610785,0,263,0,14,"{""K"":""Apink"",""F"":""Official.Apink2011"",""T"":""apink_2011"",""V"":""FDE29"",""I"":""official.apink2011"",""A"":""apink\/482854746"",""M"":""534360"",""Y"":""UCmW1Pq56lA-k-GWpX1z8WPg"",""S"":""2uWcrwgWmZcQc3IPBs3tfU"",""O"":""official_apink2011"",""N"":""Apink""}",2
19,n,April,에이프릴,"","","","",2,female,n,0,2015,"2022-01",Fineapple,1849,"2015-08-24",,n,114,77381,0,99549998,0,10,0,0,"{""K"":""April_(girl_group)"",""T"":""april_dspmedia"",""F"":""APRIL.DSPmedia"",""V"":""FA59B"",""I"":""official.april"",""Y"":""UCzd-QY2q6hFyNb_bn9vtWQw"",""A"":""april\/1033052104"",""S"":""4cJ99wTjC60pXcfyISL9fa"",""M"":""882818"",""N"":""APRIL""}",1
20,n,ASTRO,아스트로,"","","","",31,male,n,0,2016,"",AROHA,1707,"2016-02-23",,n,114,1771065,13,561200827,0,3,0,2,"{""K"":""Astro_(South_Korean_band)"",""F"":""offclASTRO"",""T"":""offclastro"",""V"":""F6F107"",""I"":""officialastro"",""Y"":""UCZqY2yIsAM9wh3vvMwKd27g"",""A"":""astro\/1086927524"",""S"":""4pz4uzOMpJQyV8UTsDy4H8"",""M"":""945766"",""O"":""astro_official"",""N"":""ASTRO""}",2
22,n,B.A.P,비에이피,"","","",BAP;BANG&JUNG&YOO&MOON;방용국&정대현&유영재&문종업,50,male,n,0,2012,"2019-02",BABY,1426,"2012-01-27",,n,114,885198,8,297085286,0,59,0,4,"{""K"":""B.A.P_(South_Korean_band)"",""V"":""FA49D"",""T"":""BapJapanstaff"",""F"":""OFFICIALB.A.P"",""S"":""6kxCoNfY6U1eP0Yc88phvk"",""M"":""623451"",""A"":""b-a-p\/710183485"",""N"":""B.A.P""}",2
23,n,B1A4,비원에이포,"","","","",28,male,n,0,2011,"",BANA,996,"2011-04-23",,n,114,907028,17,233582908,0,113,0,8,"{""K"":""B1A4"",""W"":""b1a4.com"",""F"":""wm.b1a4"",""T"":""_B1A4OFFICIAL"",""V"":""FE31F"",""I"":""b1a4ganatanatda"",""M"":""535440"",""Y"":""UCDBLl8TPgGzAzUGaqbpwAZA"",""A"":""b1a4\/433573050"",""S"":""3sxWOFw4MSN54SIQ8np6iG"",""N"":""B1A4""}",2
24,n,Baek A Yeon,백아연,"","",Baek Ayeon,"",251,female,y,0,2012,"","",1354,"2012-09-09","1993-03-11",n,114,3913,4,87818033,0,129,2,2,"{""K"":""Baek_A-yeon"",""W"":""100ayeon.jype.com"",""T"":""100ayeon"",""F"":""100ayeon"",""I"":""ayeoniiiiii"",""M"":""646173"",""N"":""백아연""}",2
25,n,Baekhyun,변백현,"","",Byun Baekhyun,"",1027,male,y,61,2011,"","",4575,"2019-07-10","1992-05-06",n,114,2690804,8,426079642,0,102,0,7,"{""K"":""Byun_Baek-hyun"",""I"":""baekhyunee_exo"",""T"":""b_hundred_hyun"",""M"":""672859"",""W"":""www.smtown.com\/artist\/musician\/10629"",""A"":""baekhyun\/987357639"",""S"":""4ufh0WuMZh6y4Dmdnklvdl"",""Y"":""UCUyr5000laFgF79tWJB3rXQ"",""N"":""백현""}",2
26,n,Beast,비스트,"","","",B2ST,6,male,n,0,2009,"2016-12",B2UTY,466,"2009-10-15",,n,114,1087745,47,641741289,0,362,4,28,"{""K"":""Highlight_(band)"",""F"":""beast.unitedcube"",""T"":""b2st_official"",""V"":""FE025"",""I"":""yysbeast"",""M"":""436981"",""Y"":""UCwpmEwAbLPUHH_9y8JazVnA"",""A"":""beast\/424366185"",""S"":""1Pr9gT0veB2tgcisQeIGoC"",""N"":""비스트(아이돌)""}",2
27,n,BESTie,베스티,"","","","",20,female,n,0,2013,"2018-10",BESTiny,813,"2013-07-11",,n,114,8581,0,55656429,0,8,0,1,"{""K"":""Bestie_(band)"",""F"":""bestiestory"",""T"":""officialBESTie"",""M"":""727818"",""Y"":""UCzAo9AuY0XacE2tvMgSHdSA"",""A"":""bestie\/830073965"",""S"":""1HiZjIv6iLp9cs5vX0AJKo"",""N"":""베스티""}",0
28,n,BIGBANG,빅뱅,"","","","",3,male,n,0,2006,"2023",VIP,1146,"2006-08-19",,n,114,3497421,84,4258155951,7,543,22,46,"{""V"":""F13F"",""W"":""bigbangmusic.info"",""T"":""YG_GlobalVIP"",""K"":""Big_Bang_(South_Korean_band)"",""D"":"""",""Y"":""UCzw-C7fNfs018R1FzIKnlaA"",""U"":""BIGBANG"",""A"":""bigbang\/318754656"",""S"":""4Kxlr1PRlDKEB0ekOCyHgX"",""M"":""198094"",""F"":""BIGBANG"",""N"":""BIGBANG""}",2
29,y,BIGBANG + 2NE1,빅뱅 + 투애니원,"","","","",0,coed,n,0,2009,"","",0,,,n,114,0,0,107111901,0,0,0,0,"",1
30,n,Bigstar,빅스타,"","","","",21,male,n,0,2012,"2019-07",Only One,14235,"2012-07-12",,n,114,3664,0,6715788,0,5,0,0,"{""K"":""Big_Star_(South_Korean_band)"",""T"":""bravebigstar"",""W"":""bigstar.bravesound.com"",""F"":""bravesoundbigstar"",""V"":""E5B32F"",""I"":""bravebigstar"",""M"":""684868"",""A"":""bigstar\/293284090"",""S"":""6GPU7qvEKtuk1Bc8rkWi1k"",""N"":""빅스타(아이돌)""}",0
31,n,Blackpink,블랙핑크,"","","","",3,female,n,0,2016,"",Blink,1699,"2016-08-08",,n,114,6147708,60,19911513979,3,577,8,26,"{""K"":""Black_Pink"",""F"":""BLACKPINKOFFICIAL"",""T"":""ygofficialblink"",""V"":""F001E5"",""I"":""blackpinkofficial"",""Y"":""UCOmHUn--16B90oW2L6FRR3A"",""A"":""blackpink\/1141774019"",""S"":""41MozSoPIsD1dJM0CLPjZF"",""M"":""995169"",""O"":""bp_tiktok"",""N"":""BLACKPINK""}",2
32,n,Block B,블락비,"","","",블락비 바스타즈,632,male,n,0,2011,"",BBC,3304,"2011-04-13",,n,114,418220,8,347143545,0,182,1,1,"{""K"":""Block_B"",""F"":""BlockBOfficial"",""T"":""blockb_official"",""V"":""FBA71"",""I"":""blockb_official_"",""Y"":""UC3EQ-_TqSIghbvv8Ck5BRzg"",""D"":""block-b"",""M"":""532201"",""A"":""block-b\/673862599"",""S"":""4RnezwRV7VBJUCI1S0AE5u"",""N"":""블락비""}",2
33,n,BoA,권보아,"","",Kwon Boah,보아,1,female,y,0,2000,"",Jumping BoA,3359,"2000-08-25","1986-11-05",n,114,2208222,6,347640067,0,87,0,13,"{""K"":""BoA"",""F"":""boa.smtown"",""T"":""boakwon"",""I"":""boakwon"",""A"":""boa\/74066466"",""S"":""4muJrGMndyYWqZtfk8OWy4"",""M"":""2165"",""N"":""보아"",""Y"":""UCYPtgd76D-o15reXD94BIoQ"",""O"":""boa_kwon""}",2
34,n,BF,보이프렌드,Boyfriend,보이프렌드,"","",433,male,n,0,2011,"",Bestfriend,1254,"2011-05-26",,n,114,261986,2,162758455,0,25,0,2,"{""K"":""Boyfriend_(band)"",""F"":""officialBF"",""T"":""g_boyfriend"",""V"":""F2419D"",""I"":""boyfriend_6"",""M"":""541500"",""A"":""boyfriend\/206101671"",""S"":""2Pw8E6zZoeuksVWtyZPnzd"",""N"":""보이프렌드""}",1
35,n,Boys Republic,소년공화국,"","","","",80,male,n,0,2013,"2018-10",Royal Family,1750,"2013-06-03",,n,114,10361,0,12773966,0,0,0,0,"{""K"":""Boys_Republic_(band)"",""F"":""BOYSREPUBLIC.5"",""T"":""officialboysrep"",""V"":""F3E169"",""I"":""official_boysrepublic"",""M"":""724751"",""Y"":""UCAi-amA4-tpCMlKi6PdmGEA"",""A"":""boys-republic\/659292325"",""S"":""0iLbcXKdKfMdqllxqSUhPn"",""N"":""소년공화국""}",0
36,n,BB GIRLS,브브걸,Brave Girls,브레이브걸스,"","",274,female,n,0,2011,"",FEARLESS,2877,"2011-04-08",,n,114,149368,10,262723250,1,156,5,3,"{""K"":""BB_Girls"",""T"":""bravegirls_"",""I"":""bravegirls.official"",""F"":""bravegirls.official"",""D"":""brave-girls"",""Y"":""UCx_kYu6Wp1yxZP_KtrW52EQ"",""M"":""531700"",""N"":""브브걸"",""O"":""weare_bbgirls""}",2
37,n,Brown Eyed Girls,브라운아이드걸스,"","","",브라운 아이드 걸스,8,female,n,0,2006,"",Everlasting,36424,"2006-03-02",,n,114,252881,12,186631561,0,106,1,9,"{""K"":""Brown_Eyed_Girls"",""T"":""officialbeg"",""F"":""officialBEG"",""V"":""FAA91"",""M"":""181694"",""N"":""브라운아이드걸스"",""I"":""browneyedgirls_official"",""Y"":""UCepFAcPmJZz46lJN5gdv1Cg"",""A"":""brown-eyed-girls\/267511820"",""S"":""2GEPtT5RDxrmdi0A4mbDi7""}",2
38,n,BTOB,비투비,"","","",Born to Beat,0,male,n,0,2012,"",Melody,1455,"2012-03-21",,n,114,1122826,17,623631817,0,303,0,6,"{""K"":""BtoB_(band)"",""F"":""BTOBofficial"",""W"":""www.btobofficial.com"",""T"":""officialbtob"",""V"":""FD737"",""I"":""cube_official_btob"",""U"":""officialbtob"",""Y"":""UCgB7A457ULlgm5c3948vr-w"",""M"":""647971"",""A"":""btob\/515372357"",""S"":""2hcsKca6hCfFMwwdbFvenJ"",""O"":""official_btob"",",2
39,n,BTOB Blue,비투비 블루,"","","","",6,male,n,38,2016,"",Melody,1868,"2016-09-18",,n,114,0,0,13108367,0,5,0,0,"{""M"":""1182662"",""A"":""btob-blue\/1156757375"",""S"":""1ctTZ3AkC5wi8Z96tnuwrp"",""N"":""비투비-블루""}",0
40,n,BTS,방탄소년단,"","","",Bangtan Boys,566,male,n,0,2013,"",ARMY,1421,"2013-06-13",,n,114,39780309,164,28305047590,4,2290,24,155,"{""K"":""BTS_(band)"",""T"":""bts_bighit"",""I"":""bts.bighitofficial"",""F"":""bangtan.official"",""Y"":""UCLkAepWjdylmXSltofFvsYQ"",""V"":""FE619"",""A"":""bts\/883131348"",""D"":"""",""W"":""bts.ibighit.com\/"",""S"":""3Nrfpe0tUJi4K4DXYWgMUX"",""M"":""672375"",""C"":""bangtan"",""O"":""bts_official_big",2
41,n,Chen,첸,"","",Kim Jongdae,김종대,1027,male,y,61,2011,"","",4111,"2019-04-01","1992-09-21",n,114,548379,4,191467171,0,97,0,0,"{""K"":""Chen_(singer)"",""I"":""exochenn"",""M"":""715176"",""W"":""www.smtown.com\/artist\/musician\/95"",""Y"":""UC5vXjgHeenPq0lTSokouxdA"",""A"":""chen\/902290176"",""S"":""0UEP2XBR9aC5NBKcAKnBIq"",""N"":""첸(EXO)"",""T"":""CHEN_INB100""}",2
42,y,Chen + Heize,첸 + 헤이즈,"","","","",0,coed,n,0,2016,"","",0,,,n,114,0,0,5447306,0,0,0,0,"",0
43,n,Choa,박초아,"","",Park Cho-a,"",10,female,y,16,2012,"","",0,,"1990-03-06",n,114,0,0,3663894,0,0,0,0,"{""U"":""CHOACHOA""}",0
44,n,CL,씨엘,"","",Lee Chaerin,이채린,0,female,y,4,2009,"",GZBz,346,"2013-05-28","1991-02-26",n,114,12959,1,360762716,0,12,0,1,"{""K"":""CL_(singer)"",""T"":""chaelincl"",""I"":""chaelincl"",""Y"":""UCkz9_MzSLqpLfgHD8jmI8iA"",""F"":""ChaelinCL"",""M"":""441844"",""N"":""CL""}",1
45,n,CLC,씨엘씨,"","","",CrystaL Clear,6,female,n,0,2015,"2022-05",Cheshire,1757,"2015-03-19",,n,114,65774,2,423804219,0,0,0,0,"{""K"":""CLC_(band)"",""T"":""cubeclc"",""I"":""cube_clc_official"",""F"":""CLC.UnitedCube"",""Y"":""UCnOTemIK0FqCe2FHbr9mWFw"",""V"":""F2E189"",""U"":""officialCLC"",""A"":""clc\/978594123"",""S"":""6QyO41KctzGc70mVaVnXQO"",""M"":""839579"",""O"":""cube_clc_official"",""N"":""CLC""}",2
46,n,CNBlue,씨엔블루,"","","","",10,male,n,0,2009,"",Boice,8735,"2010-01-14",,n,114,1339513,35,281352373,0,180,2,25,"{""K"":""CNBLUE"",""F"":""CNBLUEOfficial"",""T"":""cnblue_4"",""W"":""fncent.com\/CNBLUE"",""V"":""EBFF"",""U"":""cnblue"",""I"":""cnbluegt"",""Y"":""UC-CVBl3-ryi3GtZBXtc2_IA"",""M"":""450801"",""A"":""cnblue\/469864779"",""S"":""6dCz3spfpIvqqqsIoP6wXi"",""N"":""CNBLUE""}",2
47,n,Crayon Pop,크레용팝,"","","",크레용팝-딸기우유,16,female,n,0,2012,"2017-03",Sketchbook,8817,"2012-07-17",,n,114,36845,2,185113933,0,44,0,3,"{""K"":""Crayon_Pop"",""F"":""crayonpop"",""T"":""crayonpop"",""V"":""F061D9"",""I"":""crayonpop_official_"",""M"":""685904"",""Y"":""UC88nGROvozD_D3FWojbNErA"",""A"":""crayon-pop\/695312695"",""S"":""0ODX6aegsZkBmBeMA5qqwi"",""N"":""크레용팝""}",1
48,n,Cross Gene,크로스진,"","","","",64,male,n,0,2012,"",CandY,1771,"2012-07-08",,n,114,47524,0,29811353,0,0,0,0,"{""K"":""Cross_Gene"",""T"":""cross_gene"",""F"":""CROSSGENE.Official"",""V"":""F131BF"",""U"":""amusekr"",""I"":""cross_gene_official"",""Y"":""UCBlc_bHXd4h_iIzjnPTREpw"",""M"":""674297"",""A"":""cross-gene\/534280333"",""S"":""5xKVZmAj8EnT9X9Acz1Qvv"",""N"":""크로스진""}",1
49,n,Crush,크러쉬,"","",Shin Hyoseob,"",257,male,y,0,2014,"","",1083,"2014-04-02","1992-05-03",n,114,36267,1,474050195,1,361,0,4,"{""K"":""Crush_(singer)"",""F"":""crush9244"",""T"":""crush9244"",""I"":""crush9244"",""M"":""674710"",""N"":""Crush(가수)"",""Y"":""UCEU3spVQMmXrU0Nqhw00Gpg"",""O"":""crush9244""}",2
50,y,D.O. + Yoo Young-jin,디오 + 유영진,"","","","",0,male,n,0,2016,"","",0,,,n,114,0,0,8245151,0,0,0,0,[],0
51,n,Dal★Shabet,달샤벳,"","","",DalShabet,305,female,n,0,2011,"2017-12",Darling,3324,"2011-01-03",,n,114,38643,0,90030925,0,76,0,1,"{""K"":""Dal_Shabet"",""T"":""dalshabet"",""F"":""dalshabethappy"",""U"":""dalshabet"",""Y"":""UCCZScmulXzGFCpnEQg7aR4w"",""A"":""dalshabet\/460873499"",""S"":""10xsuRNvidaOLxWd3fRIel"",""M"":""514619"",""N"":""달샤벳""}",1
52,n,Dalmatian,달마시안,"","","",DMTN,536,male,n,0,2010,"2013-03","",3325,"2010-08-31",,n,114,9374,0,8680551,0,9,0,0,"{""F"":""dalmatianband"",""K"":""DMTN"",""T"":""dmtn_dalmatian"",""M"":""2865232"",""N"":""DMTN""}",0
53,n,Davichi,다비치,"","","","",602,female,n,0,2008,"",Davichi Chord,3326,"2008-01-28",,n,114,86678,20,509840362,1,614,9,11,"{""K"":""Davichi"",""F"":""officialdavichi"",""T"":""officialdavichi"",""V"":""C6B70F"",""I"":""davichi.official"",""D"":"""",""M"":""236815"",""Y"":""UCwZMmIVr07VLAfNcuqg9LZA"",""A"":""davichi\/462672399"",""S"":""4z6yrDz5GfKXkeQZjOaZdq"",""N"":""다비치""}",2
54,n,Day6,데이식스,"","","","",14,male,n,0,2015,"",MyDay,1620,"2015-09-07",,n,114,836064,7,598401594,1,211,6,1,"{""K"":""Day6"",""F"":""day6official"",""T"":""day6official"",""W"":""day6.jype.com"",""V"":""F4F147"",""I"":""day6kilogram"",""Y"":""UCp-pqXsizklX3ZHvLxXyhxw"",""M"":""894864"",""A"":""day6\/1037939997"",""S"":""5TnQc2N1iKlFjYD7CPGvFc"",""O"":""day6_official"",""N"":""DAY6""}",2
55,n,Dia,다이아,"","","","",4,female,n,0,2015,"2022-09",AID,1625,"2015-07-14",,n,114,109693,1,57426742,0,3,0,0,"{""K"":""DIA_(band)"",""T"":""dia_official"",""V"":""F3D16B"",""I"":""mbk.dia"",""F"":""mbk.dia"",""Y"":""UCU22DE6WbPoOoXwvZBvLK7Q"",""D"":""dia"",""A"":""dia\/1082663564"",""S"":""5Pcx98OUnL52aGZRRQx5v8"",""M"":""890286"",""N"":""DIA(아이돌)""}",1
56,n,Dreamcatcher,드림캐쳐,Minx,"","","",11,female,n,4920,2014,"",InSomnia,2007,"2017-01-13",,n,114,1197123,4,709843813,0,0,0,0,"{""K"":""Dreamcatcher_(band)"",""T"":""hf_dreamcatcher"",""I"":""hf_dreamcatcher"",""Y"":""UCijULR2sXLutCRBtW3_WEfA"",""V"":""E8D2CB"",""D"":"""",""U"":""Dreamcatcherofficial"",""A"":""dreamcatcher\/1194912387"",""S"":""5V1qsQHdXNm4ZEZHWvFnqQ"",""M"":""1284664"",""F"":""happyfacedreamcatcher"",""O"":",2
57,n,Epik High,에픽하이,"","","","",453,male,n,0,2003,"","",8585,"2003-10-23",,n,114,453705,10,189792796,1,282,5,19,"{""K"":""Epik_High"",""F"":""EPIKHIGH"",""V"":""F97B7"",""Y"":""UCTcEu0jaf3DrsTjnGwwvsvA"",""M"":""108356"",""N"":""에픽하이""}",2
58,n,Eric Nam,에릭남,"","",Nam Yoondo,남윤도,626,male,y,0,2013,"","",1783,"2013-01-23","1988-11-17",n,114,21414,0,92351279,0,30,0,0,"{""K"":""Eric_Nam"",""W"":""www.ericnam.com"",""F"":""ericnamofficial"",""T"":""ericnamofficial"",""V"":""FD33F"",""I"":""realericnam"",""M"":""592049"",""N"":""에릭남"",""Y"":""UCPuVYvsthxkc52kNYnEHUcA"",""A"":""eric-nam\/595893565"",""S"":""2FLqlgckDKdmpBrvLAT5BM"",""O"":""ericnam""}",1
59,y,Eric Nam + Somi,에릭남 + 전소미,"","","","",0,coed,n,0,2017,"","",1969,"2017-03-09",,n,114,0,0,6180120,0,0,0,0,[],0
60,n,EXID,이엑스아이디,"","","","",219,female,n,0,2011,"",LEGGO,1213,"2012-02-16",,n,114,147710,22,801424143,0,146,1,2,"{""K"":""EXID"",""F"":""EXIDOfficial"",""T"":""exidofficial"",""V"":""F9BAF"",""I"":""exidofficial"",""A"":""exid\/503473013"",""S"":""1xs6WFotNQSXweo0GXrS0O"",""M"":""630454"",""Y"":""UCZDD7mbBlV-Mg-vpI6wQvSA"",""N"":""EXID""}",2
61,n,EXO,엑소,"","","","",1,male,n,0,2011,"",EXO-L,0,"2012-04-08",,n,114,13666727,114,4269465852,0,684,8,74,"{""K"":""Exo_(band)"",""W"":""www.smtown.com\/artists\/86"",""T"":""weareoneEXO"",""F"":""weareoneEXO"",""V"":""F94BD"",""I"":""weareone.exo"",""U"":""EXOK"",""A"":""exo\/657630070"",""D"":"""",""S"":""3cjEqqelV9zb4BYE3qDQ4O"",""M"":""724619"",""Y"":""UCzCedBCSSltI1TFd3bKyN6g"",""O"":""weareone.exo_offici",2
62,n,EXO-CBX,첸백시CBX,"","","",EXO-CBX (첸백시); 엑소-첸백시,1,male,n,61,2016,"","",1888,"2016-10-30",,n,114,663704,1,340111451,0,46,0,1,"{""M"":""1228017"",""W"":""www.smtown.com\/artists\/10043"",""K"":""Exo-CBX"",""A"":""exo-cbx\/1170408504"",""S"":""3Lz3vEN23Fw0hIelrYEzUD"",""N"":""EXO-CBX""}",2
64,n,EXO-M,엑소M,"","","",EXO-Mandarin,1,male,n,61,2012,"2015-08","",3340,"2012-04-07",,n,114,450198,0,91677795,0,5,0,0,"{""M"":""625991"",""N"":""EXO-M""}",1
65,n,f(x),에프엑스,"","","","",1,female,n,0,2009,"2016-12",MeU,224,"2009-08-24",,n,114,548777,33,550604639,0,183,4,10,"{""K"":""F(x)_(band)"",""W"":""fx.smtown.com"",""F"":""fx.smtown"",""I"":""fx.official"",""A"":""f-x\/425076892"",""S"":""3wRA5UYoo08BBKJnzyKkpF"",""M"":""428501"",""Y"":""UC6qbHF5Aql0EbXn52P7ofXA"",""N"":""f(x)""}",2
66,n,Fiestar,피에스타,"","","","",119,female,n,0,2012,"2018-05",Let's,1292,"2012-08-31",,n,114,10267,0,71260279,0,17,0,0,"{""K"":""Fiestar"",""M"":""686679"",""N"":""피에스타(아이돌)""}",0
