"id","is_collab","name","kname","previous_name","previous_kname","fname","alias","id_company","members","issolo","id_parentgroup","formation","disband","fanclub","id_debut","debut_date","date_birth","is_deceased","id_country","sales","awards","views","pak_total","gaondigital_times","gaondigital_firsts","yawards_total","social","mslevel"
4749,n,BXB,비엑스비,"","","",Boy By Brush;APR PROJECT;에이피알 프로젝트,683,male,n,0,2023,"","",34638,"2023-01-30",,n,114,0,0,678134,0,0,0,0,"{""T"":""BXB_wolfburn"",""I"":""BXB_wolfburn"",""Y"":""UCnJjgvDx-N18xNE71RJd9uQ"",""M"":""3192895"",""S"":""0h6uaOMoZvxw7P0wefWvHo"",""N"":""BXB""}",0
4750,n,June,준,"","",Lee Junyoung,"",683,male,y,4749,2023,"","",0,,"2003-06-16",n,114,0,0,0,0,0,0,0,[],0
4751,n,Jeong Mi Ae,정미애,"","",Jung Mi Ae,"",1002,female,y,0,2015,"","",0,"2015-06-05","1982-04-24",n,114,0,0,236754,0,0,0,0,"{""I"":""doyoon_82"",""Y"":""UCkkgBsbVQxj7kQQkAcs13Rg"",""M"":""2640648"",""S"":""6TZFFqqoODjErZ3PPEz0as"",""N"":""정미애""}",0
4752,y,YB + Lee Sun Hee,윤도현밴드 + 이선희,"","","","",0,male,n,0,2022,"","",34723,"2022-09-19",,n,114,0,0,13873,0,0,0,0,[],0
4753,y,Baek Jiyoung + Hongki,백지영 + 홍기,"","","","",0,coed,n,0,2021,"","",34833,"2021-07-07",,n,114,0,0,995043,0,0,0,0,[],0
4754,n,Sion,시온,"","",Jung Sion,정시온,501,male,y,0,2020,"","",35258,"2022-07-23","2003-06-06",n,81,0,0,1397902,0,0,0,0,"{""I"":""sionjung"",""Y"":""UCQnOwfl2qHJKQ9vz0lhjN4w"",""M"":""3112322"",""S"":""2dEBKqLtvdFTnPcwpWEw0r"",""N"":""시온(가수)"",""C"":""sionjung"",""O"":""sionandoff""}",0
4755,n,EXN,을씨년,"","",Joo Heewon,주희원,971,female,y,0,2021,"","",0,"2021-03-12","1999-09-21",n,114,0,0,503889,0,0,0,0,"{""I"":""exnybg"",""M"":""2138721"",""C"":""exnybg"",""S"":""5s57OpnkDtehlRDTZcLGFE"",""N"":""EXN"",""W"":""unusualofficial.com\/exn\/""}",0
4756,y,EXN + Sion,을씨년 + 시온,"","","","",0,coed,n,0,2022,"2022","",0,"2022-07-30",,n,114,0,0,0,0,0,0,0,[],0
4757,n,Jayci yucca,제이씨 유카,"","",Jung Euisung,정의성,981,male,y,0,2019,"","",0,"2019-01-08","1995-02-15",n,114,0,0,0,0,0,0,0,"{""I"":""jayci_yucca"",""Y"":""UCah62PzGjQl7oobAi3E0zBQ"",""M"":""2112746"",""C"":""jayciyucca"",""S"":""6yFuoRFCsxQLasjZqdwvAM"",""N"":""Jayci%20yucca""}",0
4758,n,Kid Wine,키드와인,"","",Park Pyung-an,"",0,male,y,0,2017,"","",0,"2019-05-16","1993-03-18",n,114,0,0,0,0,0,0,0,"{""I"":""kidwine"",""M"":""914277"",""C"":""kidwine"",""S"":""4AUvnqezrLIzhkWD7TuICb"",""N"":""Kid%20Wine""}",0
4759,n,Lee Byeong Chan,이병찬,"","",Lee Byeong Chan,"",245,male,y,0,2022,"","",0,"2022-06-08","1998-01-08",n,114,7537,0,705640,0,0,0,0,"{""I"":""cksquddl"",""M"":""2971837"",""S"":""5KrpBywBTvZAMRyadIYX1s"",""N"":""이병찬(가수)""}",0
4760,n,SAya,사야,"","",Kim Minseo,김민서,477,female,y,4827,2018,"","",0,,"1999-05-07",n,114,0,0,10689566,0,0,0,0,"{""I"":""ddo_yya_"",""Y"":""UCt7PMQqIAQZt7WHxo6KKoAg"",""M"":""2403270"",""S"":""0Twk7swVpScH341g40BIbO""}",0
